nupdates,total_timesteps,policy_loss,explained_variance,time_elapsed,serial_timesteps,approxkl,clipfrac,ep_rewmean,policy_entropy,eplenmean,fps,value_loss
40,179200,-0.023723597,0.9410000555217266,479.40448355674744,163840,0.01496576,0.22001953,307.46209013000004,7.410321,150.4,327,0.017290039
41,183680,-0.023122882,0.9748606607317924,491.91456174850464,167936,0.011175154,0.16345215,315.46772802,7.3947654,152.92,330,0.0059859706
42,188160,-0.019917864,0.8566439002752304,504.3153693675995,172032,0.012421643,0.17770997,325.21648555,7.375196,158.37,328,0.038885593
43,192640,-0.019821998,0.8792395666241646,516.7792658805847,176128,0.0118282065,0.1696289,333.92846604,7.375174,162.07,331,0.036477722
44,197120,-0.023598216,0.9737376030534506,529.1475160121918,180224,0.013175994,0.18620606,343.1055747799999,7.3403654,165.69,330,0.006639621
45,201600,-0.0226444,0.9692630153149366,541.552478313446,184320,0.01250239,0.17668457,354.96131712999994,7.2959623,168.69,334,0.008403568
46,206080,-0.02558742,0.9470047317445278,553.8049337863922,188416,0.012677741,0.18349609,365.56553255,7.28965,170.45,336,0.014654599
47,210560,-0.02448683,0.9794257488101721,565.992345571518,192512,0.013093358,0.19338378,380.48216972,7.267957,173.96,333,0.0059501054
48,215040,-0.025036339,0.944857869297266,578.2796170711517,196608,0.014325881,0.20710449,399.28006558999994,7.238192,178.55,333,0.018840853
49,219520,-0.021423738,0.7448680996894836,590.5529682636261,200704,0.014175104,0.1963623,394.78060381,7.219607,178.82,331,0.08487445
50,224000,-0.019801369,0.7532798945903778,602.9191789627075,204800,0.014436901,0.20229492,400.5320603400001,7.22995,181.15,332,0.073364735
51,228480,-0.019042734,0.8554108291864395,615.2381865978241,208896,0.012199992,0.17585449,403.0826158800001,7.2365966,182.62,331,0.04771503
52,232960,-0.019530535,0.8648318350315094,627.6134366989136,212992,0.012164258,0.17756347,400.93141430000003,7.2250643,183.0,329,0.042593703
53,237440,-0.019682016,0.7470795214176178,640.0342614650726,217088,0.013909953,0.19907227,409.43541293999994,7.218347,184.34,330,0.07395511
54,241920,-0.018731138,0.7832938730716705,652.423761844635,221184,0.012121735,0.16472168,421.98324094,7.232039,188.34,334,0.062463623
55,246400,-0.020604845,0.693151444196701,664.653294801712,225280,0.013251521,0.18552247,427.1860118699999,7.216571,192.52,334,0.08794191
56,250880,-0.02033428,0.7611046880483627,676.9033622741699,229376,0.014163579,0.20075683,446.67037021000004,7.195726,201.62,334,0.066029
57,255360,-0.022177542,0.7864485681056976,689.1604285240173,233472,0.013924209,0.197583,469.97465061,7.1648498,210.12,329,0.05768224
58,259840,-0.02372522,0.8577941060066223,701.5856761932373,237568,0.0140308095,0.20534667,479.15113231000004,7.1241913,212.26,334,0.044282276
59,264320,-0.021923978,0.7997922003269196,713.8373873233795,241664,0.014548774,0.2095459,488.3881132,7.114276,217.37,327,0.050204217
60,268800,-0.021087226,0.7798644602298737,726.3629486560822,245760,0.014252965,0.20390625,508.80511750000005,7.130015,223.25,326,0.060639523
61,273280,-0.017515024,0.8511222898960114,738.9030058383942,249856,0.0131548075,0.18317871,531.7108874700001,7.141899,231.34,326,0.036563527
62,277760,-0.02034219,0.8640688359737396,751.4317886829376,253952,0.0145123545,0.19790038,548.20271044,7.1392756,236.62,321,0.030845666
63,282240,-0.018639188,0.7829892188310623,764.1827113628387,258048,0.014343476,0.2029541,571.2135262,7.151353,243.71,329,0.051549505
64,286720,-0.019727865,0.8019820600748062,776.620176076889,262144,0.014515733,0.20363769,574.07803958,7.1716347,246.12,329,0.05057146
65,291200,-0.023682605,0.8791369125247002,789.0705661773682,266240,0.014467746,0.2088623,582.4232628100002,7.164074,247.14,332,0.028390551
66,295680,-0.019914597,0.7706068754196167,801.4005286693573,270336,0.01580301,0.22543946,586.20373727,7.142302,248.28,334,0.054960657
67,300160,-0.02112799,0.8294323980808258,813.6530783176422,274432,0.014758167,0.21376953,602.73490747,7.111392,254.01,332,0.035388567
68,304640,-0.024676828,0.9171289354562759,825.9593961238861,278528,0.013401921,0.19233398,628.28406531,7.0783896,261.92,329,0.015192431
69,309120,-0.024148919,0.9009523019194603,838.4100179672241,282624,0.014026342,0.20380859,636.2952294300001,7.0521574,262.25,331,0.018550064
70,313600,-0.020540558,0.8458074331283569,850.7661147117615,286720,0.014856612,0.21369629,654.6030744000001,7.032548,267.24,334,0.03757411
71,318080,-0.015584396,0.7408528625965118,863.0267286300659,290816,0.013845829,0.19260255,662.43354164,7.0212364,270.26,332,0.06582767
72,322560,-0.023317492,0.7433387637138367,875.3377735614777,294912,0.015179659,0.20739746,674.1030084900001,7.0207624,272.53,336,0.058492888
73,327040,-0.018005053,0.742223709821701,887.5087399482727,299008,0.01451799,0.20913085,698.44488224,7.0271735,277.57,330,0.05780212
74,331520,-0.023959216,0.8715347200632095,899.8962910175323,303104,0.014426328,0.20083007,755.83831067,6.9921064,295.2,327,0.020546738
75,336000,-0.020681981,0.8265621513128281,912.3950798511505,307200,0.015482773,0.22016601,787.90286745,6.9402933,304.81,323,0.02695247
76,340480,-0.022457283,0.8261497765779495,925.0546035766602,311296,0.014625845,0.20766601,823.9212844699999,6.9316344,319.08,326,0.036198
77,344960,-0.023080584,0.6765853762626648,937.5910069942474,315392,0.015488917,0.21149902,855.8479089,6.9072943,330.96,320,0.039721247
78,349440,-0.021165434,0.7182018160820007,950.3868501186371,319488,0.017343245,0.24714355,907.69680207,6.8538566,349.0,326,0.04425552
79,353920,-0.019930232,0.7940468043088913,962.9370124340057,323584,0.015443598,0.21811524,973.56958961,6.81966,368.82,325,0.036146827
80,358400,-0.020508792,0.6068639755249023,975.5358204841614,327680,0.016757939,0.2359375,1061.0436267600003,6.789697,395.89,317,0.040047433
81,362880,-0.02164292,0.8834939897060394,988.4192442893982,331776,0.015382687,0.2184082,1139.26885842,6.780776,418.36,322,0.015583495
82,367360,-0.01665971,0.7044356763362885,1001.1379220485687,335872,0.016136104,0.22885743,1230.1911422500002,6.768805,444.56,319,0.048166506
83,371840,-0.020371068,0.6988278925418854,1013.9589006900787,339968,0.017732367,0.24555664,1325.8832044800001,6.7606688,468.31,323,0.06284934
84,376320,-0.017166618,0.48124492168426514,1026.624449968338,344064,0.016304303,0.22946778,1404.4384162799997,6.739998,488.89,321,0.06294642
85,380800,-0.01835636,0.7263846099376678,1039.3555450439453,348160,0.017949115,0.24726562,1504.1818245099996,6.733621,516.43,324,0.045633577
86,385280,-0.017303234,0.6539977788925171,1051.9809772968292,352256,0.017695019,0.24489745,1578.53188335,6.7614717,536.83,322,0.041083626
87,389760,-0.022892341,0.6950196027755737,1064.6967101097107,356352,0.018313888,0.25410157,1596.90714447,6.7710595,537.02,327,0.060389113
88,394240,-0.01777269,0.6316364705562592,1077.2114562988281,360448,0.018133378,0.23762207,1689.19846547,6.769478,561.01,323,0.054890662
89,398720,-0.019835304,0.38821887969970703,1089.8883612155914,364544,0.019400563,0.26420897,1728.95378116,6.7647257,566.29,327,0.07966106
90,403200,-0.018746978,0.5823160707950592,1102.4085202217102,368640,0.017199617,0.23444824,1793.2839184899997,6.795394,578.36,323,0.04384898
91,407680,-0.019787395,0.6538326442241669,1115.0880670547485,372736,0.01593299,0.22365722,1850.8725352500007,6.807077,587.34,323,0.06325509
92,412160,-0.016899843,0.35922831296920776,1127.7587690353394,376832,0.018433712,0.25549316,1901.6050686000003,6.7982626,597.32,320,0.05191951
93,416640,-0.022949731,0.7758758664131165,1140.5509779453278,380928,0.016066525,0.22175293,1942.6591063900005,6.786828,603.41,319,0.027990391
94,421120,-0.020372286,0.5858794450759888,1153.3877255916595,385024,0.018603565,0.25073242,1953.39906099,6.796336,599.62,326,0.06434731
95,425600,-0.018502407,0.6563164591789246,1165.924833536148,389120,0.017227395,0.2368164,1980.6719096199997,6.776493,604.18,324,0.033135913
96,430080,-0.019793153,0.5008215010166168,1178.5525789260864,393216,0.018907847,0.2509033,1978.2295469,6.775571,600.51,326,0.0609676
97,434560,-0.0170159,0.5142658054828644,1191.0870575904846,397312,0.016930345,0.23547363,2012.2122414100002,6.7802477,608.45,316,0.038725927
98,439040,-0.019435605,0.6337043642997742,1204.0454499721527,401408,0.01641582,0.23139648,2066.7099755400004,6.783723,621.77,323,0.038151816
99,443520,-0.01626667,0.3172980546951294,1216.7192709445953,405504,0.017217597,0.23623046,2128.9009784,6.7837777,637.94,321,0.047324616
100,448000,-0.017150842,0.5142202973365784,1229.4609544277191,409600,0.01731708,0.239917,2155.2995391699997,6.77322,643.0,320,0.03189591
101,452480,-0.0151587995,0.2633105516433716,1242.2450494766235,413696,0.02064563,0.2725586,2208.7194909199998,6.7685866,656.64,324,0.041118853
102,456960,-0.020219464,0.33230048418045044,1254.8853611946106,417792,0.019486599,0.2616455,2210.7913048,6.744423,655.01,323,0.051162086
103,461440,-0.02178291,0.6801790297031403,1267.5567348003387,421888,0.017118689,0.23266602,2285.09661453,6.733452,672.74,323,0.034321718
104,465920,-0.02044417,0.6393787860870361,1280.2180018424988,425984,0.018269112,0.2432129,2304.66963112,6.749635,674.6,318,0.041402493
105,470400,-0.014665295,0.6193161010742188,1293.0783877372742,430080,0.015947819,0.22143555,2336.0564470599998,6.750042,681.61,323,0.027236884
106,474880,-0.018010069,0.6585083901882172,1305.7378551959991,434176,0.01802825,0.24587402,2397.70521054,6.7696104,695.32,321,0.03292178
107,479360,-0.017804384,0.5535867810249329,1318.4943373203278,438272,0.018347163,0.24968262,2361.9742128400003,6.758756,683.32,324,0.058429223
108,483840,-0.018282015,0.5966711044311523,1331.1087532043457,442368,0.019555578,0.25944823,2369.2606974399996,6.7325044,682.55,324,0.03902792
109,488320,-0.018610436,0.5198974609375,1343.7266614437103,446464,0.018701307,0.25500488,2396.10275006,6.7347655,688.05,327,0.037108697
110,492800,-0.02102191,0.38243770599365234,1356.2281610965729,450560,0.019227004,0.26469725,2413.14267345,6.730184,690.26,321,0.05018271
111,497280,-0.012746839,0.25080406665802,1368.9589693546295,454656,0.018585607,0.24992676,2496.33579825,6.715154,709.5,320,0.035137612
112,501760,-0.018392177,0.42481470108032227,1381.7342479228973,458752,0.017239157,0.24060059,2558.14341216,6.731571,723.25,325,0.044866364
113,506240,-0.0184152,0.620439201593399,1394.3267858028412,462848,0.017938428,0.2399414,2330.5795158,6.755697,656.17,329,0.06965794
114,510720,-0.0177151,0.7005623579025269,1406.7691555023193,466944,0.02017868,0.26047364,2266.44156199,6.775468,638.33,328,0.031903412
115,515200,-0.018186677,0.5665071606636047,1419.2431905269623,471040,0.018139154,0.24506836,2201.2743223500006,6.7662125,618.07,331,0.049509406
116,519680,-0.023428872,0.6800812482833862,1431.5955259799957,475136,0.01780485,0.24509278,2015.7745335700001,6.759855,566.51,331,0.05075599
117,524160,-0.022453103,0.7012706696987152,1443.9634490013123,479232,0.016226338,0.22387695,1854.88060891,6.768155,522.82,331,0.05294195
118,528640,-0.017872635,0.6102553009986877,1456.3228769302368,483328,0.016970871,0.23833008,1760.1127909600002,6.778173,497.47,326,0.0518695
119,533120,-0.0266633,0.7101687490940094,1468.881664276123,487424,0.019616522,0.26645508,1710.82034649,6.7828264,483.96,322,0.04153838
120,537600,-0.021903556,0.7054945826530457,1481.5679860115051,491520,0.019801462,0.26291505,1650.0867458700002,6.77388,466.45,318,0.042792313
121,542080,-0.01676581,0.6738607287406921,1494.4469349384308,495616,0.019827507,0.26489258,1582.3702952000003,6.775956,448.04,321,0.040561832
122,546560,-0.017054772,0.5428759157657623,1507.1862256526947,499712,0.021407954,0.27902833,1487.8555788899998,6.7671876,423.27,322,0.04742403
123,551040,-0.014037413,0.3211537003517151,1519.8972222805023,503808,0.019374285,0.2554199,1546.66373854,6.7862625,438.01,320,0.034015115
124,555520,-0.02022124,0.4922075867652893,1532.6850407123566,507904,0.020424532,0.27058107,1693.3998342999998,6.796225,475.0,319,0.037779953
125,560000,-0.02078562,0.6489337980747223,1545.491972208023,512000,0.018864075,0.24780273,1743.4709003399998,6.8006186,487.71,318,0.032264188
126,564480,-0.018527288,0.4285374879837036,1558.363671541214,516096,0.020516347,0.26918945,1837.44698535,6.792962,510.35,319,0.032582536
127,568960,-0.021896962,0.6881527900695801,1571.1966230869293,520192,0.016964883,0.2359375,1797.8712138600001,6.772451,499.95,320,0.02634221
128,573440,-0.016840091,0.5457559823989868,1583.9699647426605,524288,0.018486831,0.25224608,1862.78018756,6.7585526,515.89,321,0.046014823
129,577920,-0.015948925,0.3154781460762024,1596.6918563842773,528384,0.021469023,0.2677002,1970.7226179999998,6.7523394,542.65,318,0.034839664
130,582400,-0.016395034,0.2556149363517761,1609.5729875564575,532480,0.020490032,0.27658692,2064.46354446,6.7521544,566.08,318,0.030698875
131,586880,-0.016078554,0.44753187894821167,1622.416354894638,536576,0.019421484,0.25114745,2143.36176454,6.734632,584.93,316,0.037177753
132,591360,-0.020832118,0.5987301170825958,1635.3478164672852,540672,0.0177554,0.24279785,2142.67556349,6.719699,583.13,321,0.051221393
133,595840,-0.018522874,0.5755711197853088,1648.1073682308197,544768,0.018840816,0.25109863,2203.92059092,6.715333,597.1,317,0.03252268
134,600320,-0.014876848,0.2405935525894165,1661.0259749889374,548864,0.019033447,0.26538086,2301.41108869,6.6767197,620.44,318,0.030156666
